@timestamp,session_id,trace_id,span_id,user_id,interaction_type,element_id,element_text,page_url,application_id,workflow_name,workflow_step,interaction_duration_ms,resulted_in_error,error_message,device_type,region
2025-10-30 18:13:00.245289,sess_00001905,trace_000000004881,span_int_000000000000,user_014855,submit,input_password,Voltar,/bills/list,app_0016,Login Flow,step_5,265,False,,tablet,São Paulo
2025-10-30 18:15:00.245289,sess_00002482,trace_000000001135,span_int_000000000001,user_013937,submit,checkbox_terms,Confirmar,/account/open,app_0034,Profile Update,step_2,241,False,Network error,desktop,Fortaleza
2025-10-30 18:17:00.245289,sess_00002259,trace_000000004612,span_int_000000000002,user_013370,submit,input_account,Enviar,/investments/portfolio,app_0036,Investment Purchase,step_4,253,False,Validation failed,mobile,Rio de Janeiro
2025-10-30 18:19:00.245289,sess_00000847,trace_000000002671,span_int_000000000003,user_014283,input,select_type,Voltar,/cards/list,app_0038,Bill Payment,step_4,54,False,,mobile,São Paulo
2025-10-30 18:21:00.245289,sess_00000321,trace_000000000824,span_int_000000000004,user_004353,submit,btn_confirm,Salvar,/bills/pay,app_0116,Login Flow,step_1,2933,False,,tablet,Porto Alegre
2025-10-30 18:23:00.245289,sess_00001425,trace_000000001892,span_int_000000000005,user_000776,click,select_type,Salvar,/investments/buy,app_0120,Account Opening,step_1,106,False,,desktop,Brasília
2025-10-30 18:25:00.245289,sess_00000628,trace_000000001399,span_int_000000000006,user_002324,click,btn_confirm,Cancelar,/cards/activate,app_0106,Loan Application,step_1,259,False,,mobile,Curitiba
2025-10-30 18:27:00.245289,sess_00002212,trace_000000002758,span_int_000000000007,user_007347,click,btn_login,Confirmar,/loans/status,app_0092,Statement Download,step_5,270,False,,tablet,Manaus
2025-10-30 18:29:00.245289,sess_00002074,trace_000000004238,span_int_000000000008,user_007976,submit,link_help,Confirmar,/bills/pay,app_0021,Card Activation,step_4,77,False,,desktop,Salvador
2025-10-30 18:31:00.245289,sess_00000655,trace_000000004263,span_int_000000000009,user_007154,hover,input_password,Confirmar,/account/documents,app_0073,Support Request,step_5,543,False,,mobile,Salvador
2025-10-30 18:33:00.245289,sess_00000416,trace_000000004118,span_int_000000000010,user_004974,submit,btn_cancel,Enviar,/loans/status,app_0000,Account Opening,step_2,133,False,,mobile,Porto Alegre
2025-10-30 18:35:00.245289,sess_00001340,trace_000000000234,span_int_000000000011,user_011024,click,btn_confirm,Próximo,/loans/apply,app_0084,Bill Payment,step_4,26,False,,mobile,Brasília
2025-10-30 18:37:00.245289,sess_00001584,trace_000000004791,span_int_000000000012,user_014097,click,btn_confirm,Salvar,/account/documents,app_0072,Support Request,step_4,290,False,,mobile,Salvador
2025-10-30 18:39:00.245289,sess_00000048,trace_000000003105,span_int_000000000013,user_011807,input,link_help,Salvar,/profile/edit,app_0133,Account Opening,step_3,56,False,,desktop,Salvador
2025-10-30 18:41:00.245289,sess_00001950,trace_000000003851,span_int_000000000014,user_007844,click,input_account,Confirmar,/account/open,app_0126,Loan Application,step_4,74,False,,mobile,Manaus
2025-10-30 18:43:00.245289,sess_00000866,trace_000000000666,span_int_000000000015,user_014081,submit,select_type,Salvar,/pix/confirm,app_0111,Bill Payment,step_2,176,False,,mobile,Belo Horizonte
2025-10-30 18:45:00.245289,sess_00002264,trace_000000000453,span_int_000000000016,user_005507,hover,checkbox_terms,Próximo,/bills/list,app_0038,Loan Application,step_2,150,False,,mobile,Recife
2025-10-30 18:47:00.245289,sess_00001552,trace_000000001327,span_int_000000000017,user_004358,click,btn_cancel,Enviar,/loans/status,app_0044,PIX Transfer,step_3,99,False,,mobile,Porto Alegre
2025-10-30 18:49:00.245289,sess_00001733,trace_000000004795,span_int_000000000018,user_002339,focus,btn_submit,Cancelar,/dashboard,app_0098,Investment Purchase,step_4,100,False,,mobile,Fortaleza
2025-10-30 18:51:00.245289,sess_00001493,trace_000000002100,span_int_000000000019,user_003516,click,input_amount,Enviar,/profile/edit,app_0127,Account Opening,step_5,287,False,,desktop,São Paulo
2025-10-30 18:53:00.245289,sess_00000257,trace_000000000960,span_int_000000000020,user_011068,input,input_account,Enviar,/loans/apply,app_0017,Profile Update,step_2,56,False,,tablet,Brasília
2025-10-30 18:55:00.245289,sess_00001864,trace_000000004057,span_int_000000000021,user_006499,input,link_help,Salvar,/pix/confirm,app_0040,Account Opening,step_2,20,False,,desktop,Porto Alegre
2025-10-30 18:57:00.245289,sess_00001129,trace_000000000044,span_int_000000000022,user_004034,focus,btn_submit,Confirmar,/cards/activate,app_0038,Bill Payment,step_2,292,False,,mobile,Belo Horizonte
2025-10-30 18:59:00.245289,sess_00001545,trace_000000003418,span_int_000000000023,user_010172,click,select_type,Salvar,/account/open,app_0113,Profile Update,step_4,1343,False,,mobile,Fortaleza
2025-10-30 19:01:00.245289,sess_00002415,trace_000000000221,span_int_000000000024,user_009735,scroll,input_password,Próximo,/login,app_0086,Loan Application,step_2,252,False,,tablet,Rio de Janeiro
2025-10-30 19:03:00.245289,sess_00002000,trace_000000002720,span_int_000000000025,user_005669,click,btn_cancel,Enviar,/cards/activate,app_0054,Profile Update,step_3,106,False,,desktop,Recife
2025-10-30 19:05:00.245289,sess_00000750,trace_000000004826,span_int_000000000026,user_003248,input,select_type,Enviar,/cards/activate,app_0100,Account Opening,step_3,105,False,,desktop,Curitiba
2025-10-30 19:07:00.245289,sess_00001391,trace_000000004943,span_int_000000000027,user_004781,submit,btn_cancel,Enviar,/loans/apply,app_0040,PIX Transfer,step_4,133,False,,mobile,Fortaleza
2025-10-30 19:09:00.245289,sess_00000536,trace_000000003512,span_int_000000000028,user_013540,input,checkbox_terms,Voltar,/account/documents,app_0127,Bill Payment,step_1,262,False,Timeout,mobile,Manaus
2025-10-30 19:11:00.245289,sess_00000209,trace_000000001100,span_int_000000000029,user_009751,focus,select_type,Próximo,/cards/list,app_0118,Login Flow,step_1,50,False,Validation failed,mobile,Belo Horizonte
