@timestamp,session_id,trace_id,page_url,resource_url,resource_type,resource_name,initiator_type,duration_ms,transfer_size_bytes,encoded_body_size_bytes,decoded_body_size_bytes,dns_time_ms,tcp_time_ms,ttfb_ms,download_time_ms,http_status,is_cached,cdn_provider,application_id
2025-11-01 11:52:30.283342,sess_00000432,trace_000000004536,/pix/confirm,https://cdn.itau.com.br/img/68.png,image,resource_0.js,css,739,79841,545653,98865,5,32,40,99,304,False,Cloudflare,app_0131
2025-11-01 11:54:00.283342,sess_00001055,trace_000000001654,/pix/confirm,https://cdn.itau.com.br/fonts/34.woff2,xmlhttprequest,resource_1.woff2,css,128,3104,56500,23049,11,12,39,83,200,False,Fastly,app_0100
2025-11-01 11:55:30.283342,sess_00000419,trace_000000003651,/loans/apply,https://cdn.itau.com.br/css/94.css,script,resource_2.jpg,css,700,4629,3245,2240,3,17,47,46,200,True,origin,app_0110
2025-11-01 11:57:00.283342,sess_00000078,trace_000000001564,/investments/buy,https://cdn.itau.com.br/img/1.png,fetch,resource_3.woff2,img,33,47771,2011,5789,7,22,48,95,200,True,Akamai,app_0089
2025-11-01 11:58:30.283342,sess_00000311,trace_000000004348,/cards/list,https://cdn.itau.com.br/css/72.js,script,resource_4.js,css,11,84093,754,49062,3,42,124,72,304,True,AWS CloudFront,app_0020
2025-11-01 12:00:00.283342,sess_00001447,trace_000000003111,/dashboard,https://cdn.itau.com.br/js/61.css,stylesheet,resource_5.jpg,css,688,103100,182390,89701,12,24,54,63,304,True,Cloudflare,app_0106
2025-11-01 12:01:30.283342,sess_00001265,trace_000000001795,/profile/edit,https://cdn.itau.com.br/js/18.png,other,resource_6.js,img,134,1829097,203340,59895,5,16,23,78,304,False,AWS CloudFront,app_0043
2025-11-01 12:03:00.283342,sess_00000948,trace_000000004356,/account/open,https://cdn.itau.com.br/css/71.png,image,resource_7.png,script,80,27393,2886,143780,7,10,42,182,200,True,Cloudflare,app_0113
2025-11-01 12:04:30.283342,sess_00002252,trace_000000004655,/profile/edit,https://cdn.itau.com.br/fonts/14.js,fetch,resource_8.jpg,css,152,138887,18475,142963,4,14,201,96,200,False,AWS CloudFront,app_0104
2025-11-01 12:06:00.283342,sess_00001698,trace_000000004961,/loans/apply,https://cdn.itau.com.br/fonts/51.woff2,image,resource_9.jpg,script,188,160220,2399,136233,17,46,197,47,200,True,Akamai,app_0129
2025-11-01 12:07:30.283342,sess_00002050,trace_000000001486,/pix/confirm,https://cdn.itau.com.br/css/49.png,script,resource_10.css,fetch,166,19462,1172,4925,3,45,60,53,200,True,Fastly,app_0131
2025-11-01 12:09:00.283342,sess_00001250,trace_000000002119,/bills/list,https://cdn.itau.com.br/js/8.css,image,resource_11.css,link,357,81127,332251,10194,4,12,169,35,200,False,origin,app_0092
2025-11-01 12:10:30.283342,sess_00000851,trace_000000003416,/bills/pay,https://cdn.itau.com.br/img/12.woff2,script,resource_12.jpg,fetch,59,95729,32584,5893,5,17,146,173,200,True,Cloudflare,app_0107
2025-11-01 12:12:00.283342,sess_00001495,trace_000000003118,/cards/list,https://cdn.itau.com.br/js/10.png,script,resource_13.png,fetch,121,612257,1206,29339,6,16,37,45,200,True,Akamai,app_0006
2025-11-01 12:13:30.283342,sess_00001592,trace_000000004517,/investments/portfolio,https://cdn.itau.com.br/js/39.css,fetch,resource_14.png,css,219,46855,24468,10089,4,57,95,42,200,False,Akamai,app_0083
2025-11-01 12:15:00.283342,sess_00001844,trace_000000000718,/bills/list,https://cdn.itau.com.br/fonts/6.woff2,script,resource_15.png,img,115,19552,134830,326321,13,12,115,26,200,False,Fastly,app_0036
2025-11-01 12:16:30.283342,sess_00000917,trace_000000003747,/investments/portfolio,https://cdn.itau.com.br/js/44.js,image,resource_16.js,fetch,447,8689,14308,64583,6,14,129,50,200,True,Akamai,app_0029
2025-11-01 12:18:00.283342,sess_00000563,trace_000000000703,/account/open,https://cdn.itau.com.br/fonts/52.js,xmlhttprequest,resource_17.woff2,css,286,6770,7681,155458,5,27,59,32,200,False,AWS CloudFront,app_0069
2025-11-01 12:19:30.283342,sess_00001585,trace_000000003866,/bills/list,https://cdn.itau.com.br/css/47.js,script,resource_18.png,css,784,15861,511021,33080,5,7,18,68,200,True,Akamai,app_0024
2025-11-01 12:21:00.283342,sess_00001425,trace_000000001380,/account/documents,https://cdn.itau.com.br/fonts/26.js,script,resource_19.png,link,68,77699,55573,469016,5,20,75,123,200,False,AWS CloudFront,app_0057
2025-11-01 12:22:30.283342,sess_00001451,trace_000000000403,/investments/buy,https://cdn.itau.com.br/js/64.js,script,resource_20.js,link,120,13597,283946,6000000,4,21,107,87,200,False,Akamai,app_0033
2025-11-01 12:24:00.283342,sess_00001500,trace_000000003605,/investments/buy,https://cdn.itau.com.br/js/13.js,script,resource_21.png,link,205,22752,12423,21778,14,26,68,21,200,True,Cloudflare,app_0103
2025-11-01 12:25:30.283342,sess_00000413,trace_000000001175,/pix/transfer,https://cdn.itau.com.br/js/31.woff2,xmlhttprequest,resource_22.woff2,img,168,142077,31656,36328,6,26,63,543,200,True,Fastly,app_0138
2025-11-01 12:27:00.283342,sess_00000342,trace_000000000443,/investments/buy,https://cdn.itau.com.br/fonts/19.js,image,resource_23.css,fetch,92,705916,1013511,72503,6,12,62,175,200,False,origin,app_0070
2025-11-01 12:28:30.283342,sess_00001738,trace_000000001554,/loans/apply,https://cdn.itau.com.br/js/14.js,script,resource_24.css,script,25,22529,189,2168,19,17,86,35,200,False,Cloudflare,app_0077
2025-11-01 12:30:00.283342,sess_00002380,trace_000000000087,/dashboard,https://cdn.itau.com.br/img/11.png,script,resource_25.css,css,132,4809,14130,176127,3,23,215,452,200,False,Akamai,app_0105
2025-11-01 12:31:30.283342,sess_00000332,trace_000000000358,/loans/apply,https://cdn.itau.com.br/css/40.woff2,image,resource_26.png,fetch,1343,1891,28226,286742,6,10,24,78,200,False,Cloudflare,app_0001
2025-11-01 12:33:00.283342,sess_00000493,trace_000000003359,/pix/transfer,https://cdn.itau.com.br/img/100.js,script,resource_27.js,img,344,232318,27822,8332,15,12,50,76,200,True,Cloudflare,app_0097
2025-11-01 12:34:30.283342,sess_00002275,trace_000000002157,/loans/apply,https://cdn.itau.com.br/fonts/17.css,script,resource_28.png,script,420,5000000,111397,1755534,7,8,44,75,304,True,Akamai,app_0004
2025-11-01 12:36:00.283342,sess_00001251,trace_000000000059,/pix/confirm,https://cdn.itau.com.br/js/23.png,script,resource_29.css,link,316,15016,26098,260311,6,15,26,92,200,False,Akamai,app_0093
2025-11-01 12:37:30.283342,sess_00001880,trace_000000003527,/account/open,https://cdn.itau.com.br/js/94.css,image,resource_30.jpg,script,51,8206,91035,19976,4,18,39,102,200,False,Akamai,app_0116
2025-11-01 12:39:00.283342,sess_00000971,trace_000000004277,/login,https://cdn.itau.com.br/css/63.woff2,xmlhttprequest,resource_31.woff2,img,464,88990,4047,42049,8,60,60,140,404,True,AWS CloudFront,app_0061
2025-11-01 12:40:30.283342,sess_00000115,trace_000000001225,/bills/list,https://cdn.itau.com.br/img/34.css,font,resource_32.jpg,script,73,39104,3113568,4711,7,16,92,292,200,True,Cloudflare,app_0107
2025-11-01 12:42:00.283342,sess_00001467,trace_000000003696,/pix/transfer,https://cdn.itau.com.br/js/20.css,image,resource_33.css,link,150,7822,973,18363,6,7,81,207,500,False,Akamai,app_0056
2025-11-01 12:43:30.283342,sess_00000171,trace_000000002793,/cards/list,https://cdn.itau.com.br/js/74.woff2,stylesheet,resource_34.png,link,239,30903,62012,184137,1,15,56,148,200,True,Akamai,app_0057
2025-11-01 12:45:00.283342,sess_00001239,trace_000000000351,/loans/status,https://cdn.itau.com.br/fonts/99.css,image,resource_35.js,link,630,714882,2423,250531,10,29,84,51,200,False,Akamai,app_0007
2025-11-01 12:46:30.283342,sess_00001918,trace_000000003627,/bills/pay,https://cdn.itau.com.br/js/74.png,image,resource_36.woff2,link,301,113996,10109,108721,5,16,133,140,200,False,Akamai,app_0054
2025-11-01 12:48:00.283342,sess_00000128,trace_000000002434,/account/open,https://cdn.itau.com.br/js/6.js,fetch,resource_37.png,img,837,34795,6624,11857,7,20,39,64,200,False,Cloudflare,app_0003
2025-11-01 12:49:30.283342,sess_00002449,trace_000000004643,/bills/list,https://cdn.itau.com.br/css/54.css,image,resource_38.js,link,88,5206,253678,288,9,11,53,31,304,True,Akamai,app_0034
2025-11-01 12:51:00.283342,sess_00000073,trace_000000002431,/bills/list,https://cdn.itau.com.br/css/20.js,other,resource_39.css,script,66,1604,6754,148299,3,48,31,303,304,True,Cloudflare,app_0026
2025-11-01 12:52:30.283342,sess_00000784,trace_000000002464,/loans/status,https://cdn.itau.com.br/css/78.png,other,resource_40.js,script,582,15722,2241,41711,6,23,15,83,200,False,AWS CloudFront,app_0038
2025-11-01 12:54:00.283342,sess_00002125,trace_000000001573,/account/open,https://cdn.itau.com.br/fonts/36.woff2,font,resource_41.woff2,script,47,27112,49632,102124,10,24,52,59,200,False,Akamai,app_0044
2025-11-01 12:55:30.283342,sess_00002100,trace_000000000458,/pix/confirm,https://cdn.itau.com.br/fonts/94.woff2,stylesheet,resource_42.png,css,40,136857,1992,745645,7,25,38,45,200,False,Fastly,app_0093
2025-11-01 12:57:00.283342,sess_00001213,trace_000000003702,/account/documents,https://cdn.itau.com.br/fonts/46.js,fetch,resource_43.jpg,img,42,4625,42741,48578,9,10,119,252,200,False,Cloudflare,app_0133
2025-11-01 12:58:30.283342,sess_00000157,trace_000000003627,/profile/edit,https://cdn.itau.com.br/js/22.png,image,resource_44.js,css,788,25799,12110,368,3,15,76,118,304,False,AWS CloudFront,app_0069
2025-11-01 13:00:00.283342,sess_00002351,trace_000000001169,/pix/confirm,https://cdn.itau.com.br/js/87.woff2,stylesheet,resource_45.jpg,script,74,5473,503572,9095,7,20,46,77,200,False,Akamai,app_0013
2025-11-01 13:01:30.283342,sess_00001498,trace_000000004968,/account/documents,https://cdn.itau.com.br/fonts/24.css,stylesheet,resource_46.css,css,158,9189,742179,20367,13,10,123,22,200,True,Akamai,app_0005
2025-11-01 13:03:00.283342,sess_00000644,trace_000000000830,/cards/list,https://cdn.itau.com.br/css/59.png,image,resource_47.js,fetch,216,748,5035,71775,7,53,60,50,200,False,Akamai,app_0090
2025-11-01 13:04:30.283342,sess_00000150,trace_000000004547,/pix/confirm,https://cdn.itau.com.br/js/19.png,script,resource_48.png,link,835,24676,3150,63970,10,16,27,355,200,False,Akamai,app_0068
2025-11-01 13:06:00.283342,sess_00000259,trace_000000002433,/login,https://cdn.itau.com.br/img/14.png,xmlhttprequest,resource_49.woff2,link,312,447839,6016,1013,11,26,26,28,200,False,Cloudflare,app_0079
2025-11-01 13:07:30.283342,sess_00000707,trace_000000002138,/cards/list,https://cdn.itau.com.br/img/25.js,script,resource_50.woff2,fetch,264,955,13442,27299,7,28,20,24,304,False,Fastly,app_0052
2025-11-01 13:09:00.283342,sess_00000879,trace_000000000302,/loans/apply,https://cdn.itau.com.br/js/28.png,font,resource_51.css,script,45,21015,100264,41438,23,35,75,120,200,False,Cloudflare,app_0066
2025-11-01 13:10:30.283342,sess_00000430,trace_000000004853,/login,https://cdn.itau.com.br/css/67.css,fetch,resource_52.js,img,95,28806,109750,11683,15,17,74,104,200,False,Cloudflare,app_0092
2025-11-01 13:12:00.283342,sess_00000724,trace_000000003230,/investments/buy,https://cdn.itau.com.br/img/72.png,image,resource_53.png,script,90,326712,149051,90808,23,24,52,180,200,False,AWS CloudFront,app_0006
2025-11-01 13:13:30.283342,sess_00001423,trace_000000004525,/loans/status,https://cdn.itau.com.br/css/87.js,image,resource_54.css,css,263,2619,449,62608,13,18,62,130,200,False,AWS CloudFront,app_0028
2025-11-01 13:15:00.283342,sess_00001917,trace_000000004708,/cards/activate,https://cdn.itau.com.br/img/71.css,stylesheet,resource_55.css,script,839,3200908,3375,183800,7,18,143,42,200,False,Cloudflare,app_0081
2025-11-01 13:16:30.283342,sess_00002137,trace_000000001257,/bills/list,https://cdn.itau.com.br/img/17.png,stylesheet,resource_56.js,script,230,4329,25905,9626,5,43,29,431,304,True,Akamai,app_0017
2025-11-01 13:18:00.283342,sess_00000649,trace_000000001419,/profile/edit,https://cdn.itau.com.br/fonts/57.png,script,resource_57.jpg,css,100,940,3890,34232,7,10,163,37,200,True,Akamai,app_0028
2025-11-01 13:19:30.283342,sess_00000033,trace_000000004023,/bills/pay,https://cdn.itau.com.br/fonts/38.woff2,stylesheet,resource_58.jpg,img,366,4002,11492,816,15,15,78,132,200,False,Akamai,app_0083
2025-11-01 13:21:00.283342,sess_00000634,trace_000000004302,/loans/apply,https://cdn.itau.com.br/css/29.js,fetch,resource_59.css,css,220,40550,6374,66797,10,18,54,141,200,False,Cloudflare,app_0120
2025-11-01 13:22:30.283342,sess_00000470,trace_000000003438,/investments/buy,https://cdn.itau.com.br/css/11.css,font,resource_60.css,script,27,1418,117778,20390,6,17,150,105,200,True,Cloudflare,app_0113
2025-11-01 13:24:00.283342,sess_00001238,trace_000000003375,/pix/confirm,https://cdn.itau.com.br/js/45.js,stylesheet,resource_61.js,link,200,59254,37012,466408,9,10,58,181,200,True,AWS CloudFront,app_0089
2025-11-01 13:25:30.283342,sess_00001739,trace_000000003676,/investments/buy,https://cdn.itau.com.br/css/75.js,script,resource_62.css,css,301,49070,82495,3704,15,22,109,191,200,False,origin,app_0075
2025-11-01 13:27:00.283342,sess_00002041,trace_000000002083,/bills/pay,https://cdn.itau.com.br/css/82.png,font,resource_63.jpg,img,276,107119,23308,171478,5,9,13,131,200,False,Akamai,app_0122
2025-11-01 13:28:30.283342,sess_00000963,trace_000000000964,/cards/activate,https://cdn.itau.com.br/fonts/51.css,stylesheet,resource_64.js,script,122,9326,19616,49113,3,32,32,186,200,False,Cloudflare,app_0134
2025-11-01 13:30:00.283342,sess_00001463,trace_000000000454,/login,https://cdn.itau.com.br/css/27.png,image,resource_65.jpg,css,286,2286,691307,3446,7,12,65,52,200,False,Akamai,app_0123
2025-11-01 13:31:30.283342,sess_00000513,trace_000000003584,/pix/transfer,https://cdn.itau.com.br/css/13.png,image,resource_66.jpg,script,341,28784,108308,100,10,19,53,33,200,True,Fastly,app_0044
2025-11-01 13:33:00.283342,sess_00001963,trace_000000002049,/account/open,https://cdn.itau.com.br/css/47.png,font,resource_67.css,script,199,86658,3483,12239,7,18,44,94,200,False,Fastly,app_0024
2025-11-01 13:34:30.283342,sess_00001770,trace_000000004542,/cards/list,https://cdn.itau.com.br/fonts/45.png,stylesheet,resource_68.css,script,54,3723,14954,120927,7,6,44,30,200,True,Akamai,app_0089
2025-11-01 13:36:00.283342,sess_00002154,trace_000000000319,/profile/edit,https://cdn.itau.com.br/fonts/41.js,xmlhttprequest,resource_69.js,link,126,35847,2199,407596,2,20,76,64,200,False,AWS CloudFront,app_0059
2025-11-01 13:37:30.283342,sess_00000698,trace_000000004715,/bills/list,https://cdn.itau.com.br/img/43.css,font,resource_70.woff2,script,353,100,1395837,8433,3,30,34,264,200,True,AWS CloudFront,app_0099
2025-11-01 13:39:00.283342,sess_00001431,trace_000000000768,/account/open,https://cdn.itau.com.br/css/5.js,font,resource_71.css,img,91,279318,231398,27969,5,9,47,74,200,True,origin,app_0025
2025-11-01 13:40:30.283342,sess_00001737,trace_000000003350,/cards/list,https://cdn.itau.com.br/js/66.png,script,resource_72.js,img,105,5342,22986,184381,9,49,78,224,200,False,Akamai,app_0080
2025-11-01 13:42:00.283342,sess_00002389,trace_000000002628,/investments/buy,https://cdn.itau.com.br/css/29.css,image,resource_73.js,link,190,6044,18653,40797,13,11,45,46,200,False,Cloudflare,app_0058
2025-11-01 13:43:30.283342,sess_00000319,trace_000000002115,/bills/list,https://cdn.itau.com.br/fonts/23.js,xmlhttprequest,resource_74.png,script,38,302362,1087278,173547,8,8,73,30,200,False,origin,app_0080
2025-11-01 13:45:00.283342,sess_00000798,trace_000000000119,/profile/edit,https://cdn.itau.com.br/js/95.png,image,resource_75.woff2,css,256,31149,48124,2531,4,17,146,51,304,False,Cloudflare,app_0100
2025-11-01 13:46:30.283342,sess_00000800,trace_000000000322,/login,https://cdn.itau.com.br/js/83.css,image,resource_76.js,img,496,527491,15484,1038,5,10,126,30,200,True,Fastly,app_0007
2025-11-01 13:48:00.283342,sess_00000902,trace_000000004212,/cards/activate,https://cdn.itau.com.br/fonts/37.woff2,fetch,resource_77.png,css,213,4136,10104,29405,5,35,41,48,304,True,AWS CloudFront,app_0106
2025-11-01 13:49:30.283342,sess_00000140,trace_000000002886,/profile/edit,https://cdn.itau.com.br/css/38.js,image,resource_78.js,img,127,317471,5010,6978,20,13,55,21,304,False,Cloudflare,app_0020
2025-11-01 13:51:00.283342,sess_00001868,trace_000000004443,/login,https://cdn.itau.com.br/css/40.png,stylesheet,resource_79.jpg,fetch,104,4006,7643,8225,4,16,100,126,200,True,Cloudflare,app_0128
2025-11-01 13:52:30.283342,sess_00002064,trace_000000003257,/loans/status,https://cdn.itau.com.br/js/74.woff2,script,resource_80.woff2,img,60,74867,34718,76843,7,28,23,336,200,True,AWS CloudFront,app_0026
