@timestamp,event_id,imsi,source_gt,destination_gt,message_type,attack_signature,threat_level,blocked,originating_network,sccp_called_party,sccp_calling_party,map_operation,event_description
2025-11-01 23:50:33.914883,SS7_EVT_0000000001,310260623605381,12345676192352,44456781268742,CAP_IDP,SIG_00892,High,True,MCC234_MNC82,44456781881573,44456783660921,provideSubscriberInfo,SS7 MAP_ISD message from suspicious GT attempting authentication vector request. Flagged for investigation
2025-11-01 23:55:33.914883,SS7_EVT_0000000002,310260550636256,55512346812052,55512344961041,MAP_PSI,SIG_01129,Low,True,MCC440_MNC61,55512344988182,33322115889454,anyTimeInterrogation,SS7 MAP_PSI message from blacklisted source attempting authentication vector request. Flagged for investigation
2025-11-02 00:00:33.914883,SS7_EVT_0000000003,310260106178860,55512347357947,44456784907667,MAP_ISD,SIG_01137,Low,False,MCC234_MNC54,98765439933788,55512345511838,sendAuthenticationInfo,SS7 MAP_SAI message from untrusted partner attempting location tracking. Rate limited
2025-11-02 00:05:33.914883,SS7_EVT_0000000004,310260997193026,12345675834699,33322114498013,MAP_SRI_SM,SIG_00208,Low,True,MCC310_MNC11,12345677600390,98765434685596,sendAuthenticationInfo,SS7 MAP_SAI message from untrusted partner attempting location tracking. Allowed with monitoring
2025-11-02 00:10:33.914883,SS7_EVT_0000000005,310260494350392,98765439104317,98765434913893,CAP_IDP,SIG_00708,Low,False,MCC234_MNC41,33322114193904,44456784856293,provideSubscriberInfo,SS7 MAP_SAI message from blacklisted source attempting subscriber information query. Rate limited
2025-11-02 00:15:33.914883,SS7_EVT_0000000006,310260423140713,33322119954676,33322114059239,MAP_SRI_SM,SIG_00316,Low,False,MCC208_MNC61,12345673988766,12345674054459,sendRoutingInfoForSM,SS7 CAP_IDP message from untrusted partner attempting location tracking. Blocked by firewall
2025-11-02 00:20:33.914883,SS7_EVT_0000000007,310260679878597,44456782594938,44456783348232,MAP_SAI,SIG_00498,Medium,False,MCC440_MNC96,33322117114064,55512342452982,updateLocation,SS7 MAP_PSI message from suspicious GT attempting authentication vector request. Blocked by firewall
2025-11-02 00:25:33.914883,SS7_EVT_0000000008,310260658184646,44456787017681,55512345191547,MAP_SAI,SIG_01183,Low,False,MCC234_MNC55,55512348585197,44456782556922,anyTimeInterrogation,SS7 CAP_IDP message from blacklisted source attempting SMS interception. Blocked by firewall
2025-11-02 00:30:33.914883,SS7_EVT_0000000009,310260484767473,44456782489400,12345677176871,MAP_PSI,SIG_00796,Medium,False,MCC234_MNC87,98765433719228,98765432216051,updateLocation,SS7 MAP_SRI_SM message from unknown network attempting subscriber information query. Rate limited
2025-11-02 00:35:33.914883,SS7_EVT_0000000010,310260341742747,44456783466307,33322114369470,MAP_PSI,SIG_00881,Low,False,MCC208_MNC43,55512348212221,98765433140662,sendRoutingInfoForSM,SS7 MAP_UL message from suspicious GT attempting authentication vector request. Allowed with monitoring
2025-11-02 00:40:33.914883,SS7_EVT_0000000011,310260695064199,55512343340126,98765431634540,MAP_PSI,SIG_01028,Low,False,MCC262_MNC20,12345677372341,33322114851201,sendRoutingInfoForSM,SS7 MAP_ATI message from suspicious GT attempting location tracking. Rate limited
2025-11-02 00:45:33.914883,SS7_EVT_0000000012,310260803988723,55512345957848,33322119974941,MAP_SRI_SM,SIG_00423,Low,True,MCC262_MNC32,44456786753544,44456786259902,sendAuthenticationInfo,SS7 MAP_SAI message from unknown network attempting authentication vector request. Flagged for investigation
2025-11-02 00:50:33.914883,SS7_EVT_0000000013,310260277261283,33322113792140,55512347843854,MAP_SRI_SM,SIG_00355,Low,False,MCC208_MNC22,33322118381494,98765433889914,sendRoutingInfoForSM,SS7 MAP_ISD message from untrusted partner attempting SMS interception. Blocked by firewall
2025-11-02 00:55:33.914883,SS7_EVT_0000000014,310260315483974,33322114083691,98765438913810,CAP_IDP,SIG_00857,Low,False,MCC262_MNC16,33322117758301,33322119374479,anyTimeInterrogation,SS7 MAP_ISD message from unknown network attempting subscriber information query. Flagged for investigation
