@timestamp,event_id,imsi,mme_host,auth_result,auth_type,hss_node,diameter_result_code,sync_failure,sqn_failure,response_time_ms,subscriber_profile_id,roaming_status,visited_plmn,error_message
2025-11-08 05:46:03.914883,HSS_EVT_0000000001,310260224404724,mme-03.tmobile.net,Success,AKA,hss-05.tmobile.net,2001,False,False,11,PROF_038,Home,440,Unknown subscriber in HSS
2025-11-08 05:46:33.914883,HSS_EVT_0000000002,310260798310843,mme-01.tmobile.net,Success,EPS-AKA,hss-01.tmobile.net,2001,False,False,3,PROF_046,Home,262,Subscriber profile retrieved
2025-11-08 05:47:03.914883,HSS_EVT_0000000003,310260269816727,mme-04.tmobile.net,Success,EPS-AKA,hss-01.tmobile.net,5012,False,False,31,PROF_045,Home,310260,SQN out of range - resync required
2025-11-08 05:47:33.914883,HSS_EVT_0000000004,310260170462227,mme-02.tmobile.net,Failure,SIM,hss-06.tmobile.net,2001,False,False,13,PROF_029,Roaming,262,Subscriber profile retrieved
2025-11-08 05:48:03.914883,HSS_EVT_0000000005,310260277261283,mme-01.tmobile.net,Success,EPS-AKA,hss-02.tmobile.net,2001,False,False,18,PROF_020,Home,234,Replication lag detected
2025-11-08 05:48:33.914883,HSS_EVT_0000000006,310260277143123,mme-04.tmobile.net,Success,SIM,hss-02.tmobile.net,2001,False,False,20,PROF_024,Roaming,310490,HSS overload condition
2025-11-08 05:49:03.914883,HSS_EVT_0000000007,310260817463955,mme-05.tmobile.net,Success,EPS-AKA,hss-02.tmobile.net,2001,False,False,17,PROF_034,Home,310490,Unknown subscriber in HSS
2025-11-08 05:49:33.914883,HSS_EVT_0000000008,310260798649302,mme-05.tmobile.net,Success,EPS-AKA,hss-05.tmobile.net,2001,False,False,51,PROF_001,Home,310260,Replication lag detected
2025-11-08 05:50:03.914883,HSS_EVT_0000000009,310260414255638,mme-02.tmobile.net,Success,EPS-AKA,hss-07.tmobile.net,2001,False,False,31,PROF_009,Home,262,Authentication successful
2025-11-08 05:50:33.914883,HSS_EVT_0000000010,310260117754455,mme-01.tmobile.net,Success,EPS-AKA,hss-08.tmobile.net,2001,False,False,19,PROF_028,Home,234,Invalid authentication vector
2025-11-08 05:51:03.914883,HSS_EVT_0000000011,310260695064199,mme-05.tmobile.net,Success,EPS-AKA,hss-05.tmobile.net,2001,False,False,13,PROF_030,Home,310490,HSS overload condition
2025-11-08 05:51:33.914883,HSS_EVT_0000000012,310260632554894,mme-02.tmobile.net,Success,EPS-AKA,hss-02.tmobile.net,5030,False,False,13,PROF_027,Home,440,Replication lag detected
2025-11-08 05:52:03.914883,HSS_EVT_0000000013,310260185858779,mme-04.tmobile.net,Success,AKA,hss-06.tmobile.net,2001,False,False,19,PROF_042,Home,440,Invalid authentication vector
2025-11-08 05:52:33.914883,HSS_EVT_0000000014,310260552500700,mme-05.tmobile.net,Success,EPS-AKA,hss-04.tmobile.net,2001,False,False,53,PROF_016,Home,440,Replication lag detected
