@timestamp,metric_id,mme_host,link_type,peer_node,messages_per_second,error_rate,congestion_level,sctp_associations,sctp_retransmissions,link_status,cpu_utilization,memory_utilization,active_subscribers
2025-11-04 01:47:03.914883,METRIC_0000000001,mme-03.tmobile.net,S1-MME,peer-18.tmobile.net,528,0.002073877658008909,Medium,15,0,Up,57.277516042049434,76.62537934679557,337125
2025-11-04 01:48:33.914883,METRIC_0000000002,mme-05.tmobile.net,S1-MME,peer-06.tmobile.net,501,0.006531649175587574,None,38,4,Up,48.751257895712705,83.76634296040554,148973
2025-11-04 01:50:03.914883,METRIC_0000000003,mme-02.tmobile.net,S10,peer-09.tmobile.net,492,0.010399367270531843,None,36,1,Up,49.96588784086589,86.42294081374071,87442
2025-11-04 01:51:33.914883,METRIC_0000000004,mme-04.tmobile.net,S1-MME,peer-01.tmobile.net,500,0.04259313947409074,None,43,2,Up,87.910325248689,89.07706992097148,438577
2025-11-04 01:53:03.914883,METRIC_0000000005,mme-04.tmobile.net,S1-MME,peer-01.tmobile.net,564,0.0020857754966713583,High,38,2,Up,56.08113837788119,92.33227829460384,299624
2025-11-04 01:54:33.914883,METRIC_0000000006,mme-02.tmobile.net,S11,peer-17.tmobile.net,503,0.022573792477985945,Medium,30,0,Up,66.61003797118516,73.69967311257163,262615
2025-11-04 01:56:03.914883,METRIC_0000000007,mme-05.tmobile.net,SGs,peer-04.tmobile.net,503,0.0386976953863386,None,36,3,Up,42.51653563440782,98.16054740121152,281208
2025-11-04 01:57:33.914883,METRIC_0000000008,mme-01.tmobile.net,S1-MME,peer-05.tmobile.net,502,0.006435011251296978,Medium,27,1,Up,91.2698958206078,77.13398598135254,185348
2025-11-04 01:59:03.914883,METRIC_0000000009,mme-03.tmobile.net,S11,peer-05.tmobile.net,538,0.017805978163699974,Medium,26,2,Up,65.55554127480572,47.91436431185295,82201
2025-11-04 02:00:33.914883,METRIC_0000000010,mme-05.tmobile.net,SGs,peer-20.tmobile.net,465,0.019013999468186864,None,24,0,Up,62.51403229523413,68.47372923783097,339302
2025-11-04 02:02:03.914883,METRIC_0000000011,mme-04.tmobile.net,S11,peer-01.tmobile.net,506,0.007334178738151205,Low,18,0,Up,81.82627111039406,72.91712306811827,312941
2025-11-04 02:03:33.914883,METRIC_0000000012,mme-02.tmobile.net,S6a,peer-18.tmobile.net,444,0.0037951326541995987,None,48,2,Up,74.60669571129176,50.977795121197644,488310
2025-11-04 02:05:03.914883,METRIC_0000000013,mme-01.tmobile.net,S1-MME,peer-08.tmobile.net,449,0.0023266155342431005,None,16,2,Up,61.24171163330391,80.9690029141412,127900
2025-11-04 02:06:33.914883,METRIC_0000000014,mme-05.tmobile.net,S1-MME,peer-16.tmobile.net,517,0.006712706418019217,None,6,0,Up,59.79283283788616,82.29286675397042,152721
2025-11-04 02:08:03.914883,METRIC_0000000015,mme-04.tmobile.net,S1-MME,peer-07.tmobile.net,498,0.00017506017885045565,Medium,12,1,Up,84.03626279236852,50.63559635590739,57745
2025-11-04 02:09:33.914883,METRIC_0000000016,mme-02.tmobile.net,SGs,peer-18.tmobile.net,479,0.012603171968257887,Medium,38,2,Up,65.9465656497241,94.13893735037277,186501
2025-11-04 02:11:03.914883,METRIC_0000000017,mme-01.tmobile.net,S1-MME,peer-02.tmobile.net,489,0.00463058633319649,None,13,4,Up,76.32764689514269,89.3309664770874,333815
2025-11-04 02:12:33.914883,METRIC_0000000018,mme-02.tmobile.net,S1-MME,peer-20.tmobile.net,470,0.014076340112739784,None,18,2,Up,56.99011488145979,66.75127382251854,463695
2025-11-04 02:14:03.914883,METRIC_0000000019,mme-05.tmobile.net,S6a,peer-16.tmobile.net,518,0.023607668803487847,None,16,2,Up,75.01348046825454,85.90917051382534,376754
2025-11-04 02:15:33.914883,METRIC_0000000020,mme-02.tmobile.net,S11,peer-17.tmobile.net,480,0.05466310465260936,None,31,2,Up,54.23133029787823,84.00443930312798,14885
2025-11-04 02:17:03.914883,METRIC_0000000021,mme-03.tmobile.net,S1-MME,peer-16.tmobile.net,481,0.0042194665191150026,Low,7,4,Up,79.21127545946175,82.77116178762537,77623
