@timestamp,cell_id,metric_name,ml.anomaly_score,actual_value,typical_value,deviation_pct,anomaly_severity,detection_rule,region
2025-10-28 18:53:01.452193,CELL-000019,prb_utilization_dl,56.631531822690526,56.615224536805385,83.29732630460647,6.108003756850971,Medium,Population Analysis,Midwest
2025-10-28 19:03:01.452193,CELL-000056,call_drop_rate,7.214145245913639,108.90103631996901,116.02228038013575,79.11353289576019,Low,Population Analysis,Northwest
2025-10-28 19:13:01.452193,CELL-000062,latency,12.24035825131189,133.38046620609077,81.39132287341994,56.761432640712606,Info,Population Analysis,Northeast
2025-10-28 19:23:01.452193,CELL-000044,session_drop_rate,35.04720589592083,59.4143768025049,65.5299701351991,58.55751157364974,High,Multi-Metric Correlation,Central
2025-10-28 19:33:01.452193,CELL-000092,latency,92.13132921900252,125.06896239419548,105.8816900660022,65.75538711214246,High,Population Analysis,Central
2025-10-28 19:43:01.452193,CELL-000001,latency,26.756914698501745,109.67582141316412,113.74001482221158,74.46431791647332,Medium,Threshold Deviation,West
2025-10-28 19:53:01.452193,CELL-000012,latency,57.06910539413532,91.15643550456231,101.33024698564054,72.87847331782895,Low,Time Series Forecast,South Central
2025-10-28 20:03:01.452193,CELL-000052,sinr,67.98450057452088,59.788544396075324,79.01769198335292,67.43321583828934,Medium,Multi-Metric Correlation,West
2025-10-28 20:13:01.452193,CELL-000011,rrc_connection_success_rate,49.63291491537076,93.65650312513196,100.1412841294378,56.430065862486884,Critical,Seasonal Pattern,Mid-Atlantic
2025-10-28 20:23:01.452193,CELL-000119,session_drop_rate,20.616617711225118,101.264743032931,86.46147349633107,-4.077277792325569,Medium,Multi-Metric Correlation,Northwest
2025-10-28 20:33:01.452193,CELL-000052,rrc_connection_success_rate,70.85692595492122,102.27723597638581,99.74781808734689,-29.679056224647596,Medium,Seasonal Pattern,North Central
2025-10-28 20:43:01.452193,CELL-000105,latency,79.30675489347908,128.02631687068805,98.61703367212066,57.20338344165159,Low,Threshold Deviation,West
2025-10-28 20:53:01.452193,CELL-000009,prb_utilization_dl,42.42038567159469,106.18826165556567,77.02287346921288,-48.40360367654372,Info,Multi-Metric Correlation,Great Lakes
2025-10-28 21:03:01.452193,CELL-000122,prb_utilization_dl,91.27915157849048,102.7809260976206,72.5705805772735,-1.0864350892257424,Low,Threshold Deviation,Mountain
2025-10-28 21:13:01.452193,CELL-000006,rsrp,22.76495023590146,98.84668308003073,116.61165879112443,-26.21917062871955,Low,Threshold Deviation,Southwest
2025-10-28 21:23:01.452193,CELL-000054,latency,74.22615033349808,119.07497708823051,112.98372800952812,64.87864437837673,Medium,Time Series Forecast,Northwest
2025-10-28 21:33:01.452193,CELL-000024,latency,80.29271416233087,123.12287453336339,111.8547070625168,34.87529599083284,Info,Trend Analysis,Northeast
2025-10-28 21:43:01.452193,CELL-000062,rsrp,32.42020638531207,106.92153544878748,69.62226107716756,31.34782581828413,Medium,Population Analysis,Mid-Atlantic
2025-10-28 21:53:01.452193,CELL-000100,latency,73.25441087073722,114.7564778514044,113.8957521706359,-0.49923175276084475,Medium,Multi-Metric Correlation,Midwest
2025-10-28 22:03:01.452193,CELL-000100,call_drop_rate,90.65813950208484,80.91326488839096,114.32197996639155,9.96643164452513,Low,Seasonal Pattern,Midwest
2025-10-28 22:13:01.452193,CELL-000109,session_drop_rate,17.64574955997472,58.8134415214558,112.74520722066923,42.3874670156989,High,Population Analysis,Mid-Atlantic
2025-10-28 22:23:01.452193,CELL-000077,handover_success_rate,39.34262900852396,87.46259333599752,108.27351572338004,39.04625304074151,Medium,Threshold Deviation,Midwest
2025-10-28 22:33:01.452193,CELL-000017,sinr,86.669087289811,63.59694391017652,91.51910744443586,35.528005661967114,Info,Threshold Deviation,Central
2025-10-28 22:43:01.452193,CELL-000020,latency,27.76164120198161,127.99828620710379,106.70416246450596,7.67381814094542,Medium,Seasonal Pattern,Central
2025-10-28 22:53:01.452193,CELL-000063,latency,40.77059204119055,75.87224611327066,102.97733952241646,-43.75577913794416,Medium,Trend Analysis,West
2025-10-28 23:03:01.452193,CELL-000020,handover_success_rate,0.66064908578779,59.506072958547364,97.07795383679196,36.859894441922584,Low,Time Series Forecast,Mountain
2025-10-28 23:13:01.452193,CELL-000138,rrc_connection_success_rate,21.03906831137049,87.73848897304923,106.87328492379989,37.69090644061387,Info,Population Analysis,South Central
2025-10-28 23:23:01.452193,CELL-000040,session_drop_rate,54.529687992970274,60.83081688624835,102.53887533173568,-31.474164304697183,Medium,Threshold Deviation,Northwest
2025-10-28 23:33:01.452193,CELL-000089,call_drop_rate,55.28519272626637,146.6855189788959,105.39045030752129,20.064555916937273,Critical,Multi-Metric Correlation,Midwest
2025-10-28 23:43:01.452193,CELL-000129,sinr,67.59852828063666,146.25862346754556,66.10992777334869,-41.471382487680685,Medium,Time Series Forecast,Mountain
2025-10-28 23:53:01.452193,CELL-000003,sinr,6.955657220542277,75.00581651872218,79.61372108360024,-41.68516373971969,Low,Seasonal Pattern,North Central
2025-10-29 00:03:01.452193,CELL-000065,sinr,3.902206017296095,130.9263729615647,100.36978549023921,-2.385479311805261,Low,Time Series Forecast,Atlantic
2025-10-29 00:13:01.452193,CELL-000005,call_drop_rate,46.752087750426966,147.64352506097657,95.23700275672441,74.69382389995093,Low,Trend Analysis,Mountain
2025-10-29 00:23:01.452193,CELL-000040,sinr,99.80184002378397,52.87776909645295,79.62411894694671,19.33823671112622,Medium,Trend Analysis,Northeast
2025-10-29 00:33:01.452193,CELL-000020,prb_utilization_dl,41.700893987012165,121.26326754355307,112.26254648490831,-6.013887931352571,Info,Seasonal Pattern,Pacific
2025-10-29 00:43:01.452193,CELL-000146,rsrp,46.735762817112594,124.16147958617904,63.82422994897025,56.74562712573399,High,Threshold Deviation,Gulf
2025-10-29 00:53:01.452193,CELL-000030,sinr,88.12642061293712,91.04348620975473,103.57761951160592,-18.434571351077043,Medium,Multi-Metric Correlation,Northeast
2025-10-29 01:03:01.452193,CELL-000144,latency,79.52340922070805,95.57446972812654,104.66573118656896,29.99242542878271,Medium,Trend Analysis,Atlantic
2025-10-29 01:13:01.452193,CELL-000135,call_drop_rate,59.253120236846,113.31227363480737,68.48731066454538,62.756113535651224,Medium,Threshold Deviation,Midwest
2025-10-29 01:23:01.452193,CELL-000007,latency,41.993216904424614,80.81523372237532,75.03011687286728,60.778982487659114,Low,Population Analysis,Mid-Atlantic
2025-10-29 01:33:01.452193,CELL-000038,rrc_connection_success_rate,92.31752401067929,93.91752812588278,82.10412455814233,75.50946279905706,Info,Multi-Metric Correlation,Gulf
2025-10-29 01:43:01.452193,CELL-000008,session_drop_rate,55.041176240868324,105.43038044500308,106.23299555136931,52.00818922022271,High,Population Analysis,Southeast
2025-10-29 01:53:01.452193,CELL-000027,prb_utilization_dl,48.936065892513355,136.8501757046927,119.47838782445474,-20.70249614804933,Medium,Population Analysis,Southwest
2025-10-29 02:03:01.452193,CELL-000006,call_drop_rate,26.37816471933282,95.04068337081947,97.17077975926493,21.24801000501614,High,Trend Analysis,Southeast
2025-10-29 02:13:01.452193,CELL-000141,handover_success_rate,87.08500271864025,59.60477718576024,75.79721193003635,34.83617911530331,Low,Population Analysis,Northwest
2025-10-29 02:23:01.452193,CELL-000023,handover_success_rate,45.503168958482775,136.01013957956772,104.11590216436346,5.730287606228081,High,Multi-Metric Correlation,Gulf
2025-10-29 02:33:01.452193,CELL-000123,sinr,53.733456583634265,96.08247476245867,77.24947890980135,-12.739104873889476,Medium,Multi-Metric Correlation,Southeast
2025-10-29 02:43:01.452193,CELL-000008,handover_success_rate,72.08944720554264,95.93419284081904,65.07117861653728,68.01699997709676,Medium,Threshold Deviation,Southeast
2025-10-29 02:53:01.452193,CELL-000038,rrc_connection_success_rate,44.84684615131833,111.48458546627039,65.4710047904233,-43.239492848305105,High,Time Series Forecast,Pacific
2025-10-29 03:03:01.452193,CELL-000061,handover_success_rate,53.3876459911922,112.42507973140718,82.31264080206513,14.299040849467694,Medium,Time Series Forecast,Great Lakes
2025-10-29 03:13:01.452193,CELL-000066,handover_success_rate,97.88398109039275,78.45973881245118,66.16199232793933,31.414600337767205,High,Population Analysis,Gulf
2025-10-29 03:23:01.452193,CELL-000062,sinr,25.9663269852897,111.05509110584535,78.31959712294794,25.11044825796932,Critical,Time Series Forecast,South Central
2025-10-29 03:33:01.452193,CELL-000110,rsrp,16.112860542780936,125.92925028174379,69.84833282024182,-4.818385477637634,Info,Multi-Metric Correlation,Mountain
2025-10-29 03:43:01.452193,CELL-000101,rsrp,0.3089651961512785,149.4520844674525,86.49638554774761,69.58541203842793,Low,Trend Analysis,Gulf
2025-10-29 03:53:01.452193,CELL-000027,sinr,23.730400328273916,141.40173642862274,99.42500541633336,-21.607412006007987,Medium,Population Analysis,Northwest
2025-10-29 04:03:01.452193,CELL-000104,handover_success_rate,22.94449791783768,76.26621517274835,69.58083806059732,74.0140283476316,Low,Time Series Forecast,Gulf
2025-10-29 04:13:01.452193,CELL-000094,sinr,4.148350707028737,51.21017703944227,83.00925165379392,-14.49585786349562,Low,Time Series Forecast,North Central
2025-10-29 04:23:01.452193,CELL-000072,sinr,32.728643528447755,126.06016503182198,116.95845427667989,-16.23257298672598,Info,Threshold Deviation,Gulf
2025-10-29 04:33:01.452193,CELL-000040,handover_success_rate,51.06853378710293,71.3988764214414,114.61565973629288,26.54723678321147,High,Trend Analysis,North Central
2025-10-29 04:43:01.452193,CELL-000098,session_drop_rate,22.76031410282431,132.14115449985437,111.80179266959541,71.69149900390795,Low,Trend Analysis,Northeast
2025-10-29 04:53:01.452193,CELL-000098,session_drop_rate,39.752227967033186,60.5896498581992,111.5733656650083,25.553806271232947,Info,Population Analysis,Southwest
2025-10-29 05:03:01.452193,CELL-000032,rrc_connection_success_rate,0.6846231845520911,59.88807042338566,118.66832243576734,7.469163842319296,Medium,Trend Analysis,Pacific
2025-10-29 05:13:01.452193,CELL-000087,latency,31.717137984878175,96.37545788753532,66.34618905009894,33.778884243329145,Low,Time Series Forecast,Mid-Atlantic
2025-10-29 05:23:01.452193,CELL-000049,handover_success_rate,29.021976180478994,94.0964360497423,105.78345769812435,46.649450423875805,Medium,Multi-Metric Correlation,Mountain
