@timestamp,session_id,imsi,cell_id,mme_id,apn,subscriber.experience.score,network.transport.latency_ms,network.transport.packet_loss_pct,network.procedure.type,network.procedure.success,network.auth.result,session_duration_sec,data_volume_mb,handover_count,network.procedure.failure_cause,session_description
2025-11-10 19:13:31.343766,SESS-000000000001,310260000000143,CELL-000131,MME-29,internet,3.626217337960184,104.93128243266489,4.563258196703264,Attach,True,Success,5946,152.76216896583725,4,None,"Attach procedure for IMSI 310260000000143 on cell CELL-000131, succeeded with 5946s duration, 152.8MB transferred"
2025-11-10 19:14:01.343766,SESS-000000000002,310260000000070,CELL-000122,MME-77,internet,4.326524754086911,179.77837076498616,6.001303484645036,Handover,True,Success,4328,5.07179727000767,4,None,"Subscriber session on internet APN, Handover succeeded, experience score 4.33, 4 handovers"
2025-11-10 19:14:31.343766,SESS-000000000003,310260000000182,CELL-000093,MME-20,internet,1.031945801281216,59.33956545809445,2.343578546622826,Attach,True,Success,5103,4.444888856750651,2,None,"Attach for internet service, succeeded after 5103s, latency 59.3ms, 4.4MB data volume"
2025-11-10 19:15:01.343766,SESS-000000000004,310260000000105,CELL-000135,MME-77,vzwinternet,2.348716204391049,244.47992989311268,3.16414558298648,Attach,True,Success,6482,123.97504095142983,9,None,"Mobile session with 9 handovers, Attach procedure succeeded, 2.35 experience score"
2025-11-10 19:15:31.343766,SESS-000000000005,310260000000039,CELL-000039,MME-07,mms,2.993497042368273,154.7024277862624,6.623012761662587,Handover,True,Success,5903,435.09535467694786,8,None,"mms session: Handover succeeded, 5903s duration, 154.7ms latency, packet loss 6.62%"
2025-11-10 19:16:01.343766,SESS-000000000006,310260000000037,CELL-000086,MME-63,ims,2.250324002781805,211.08787961483145,7.076857132935895,Bearer Modification,True,Success,6547,299.0205231518167,7,None,"Bearer Modification procedure for IMSI 310260000000037 on cell CELL-000086, succeeded with 6547s duration, 299.0MB transferred"
2025-11-10 19:16:31.343766,SESS-000000000007,310260000000131,CELL-000125,MME-52,ims,3.575205532938263,83.42807537893142,1.9076504987361123,Attach,True,Success,896,169.5880567080439,4,None,"Subscriber session on ims APN, Attach succeeded, experience score 3.58, 4 handovers"
2025-11-10 19:17:01.343766,SESS-000000000008,310260000000169,CELL-000005,MME-68,internet,3.2017465642753886,34.015767397993,6.711847586557273,Detach,True,Success,4832,212.63171420695835,7,None,"Detach for internet service, succeeded after 4832s, latency 34.0ms, 212.6MB data volume"
2025-11-10 19:17:31.343766,SESS-000000000009,310260000000132,CELL-000018,MME-35,vzwinternet,1.0715363269394382,149.57818965364964,4.806305446206689,Detach,True,Success,4676,458.42999348320774,6,None,"Mobile session with 6 handovers, Detach procedure succeeded, 1.07 experience score"
2025-11-10 19:18:01.343766,SESS-000000000010,310260000000081,CELL-000103,MME-06,vzwinternet,3.3111084264914794,130.5760577649195,7.630494708252982,Handover,True,Success,3728,19.433028362845324,0,None,"vzwinternet session: Handover succeeded, 3728s duration, 130.6ms latency, packet loss 7.63%"
