@timestamp,session_id,imsi_hash,mme_host,cell_id,tracking_area_code,session_type,apn,qci,session_duration_seconds,data_volume_mb,session_result,customer_segment
2025-11-10 19:09:51.952802,sess-0000000001,imsi-688930,mme-so-32,cell-00340,tac-0047,data,internet,8,1526,45.02364728579593,normal_release,seg-09
2025-11-10 19:10:26.952802,sess-0000000002,imsi-835227,mme-no-07,cell-00285,tac-0095,sms,ims,9,333,58.50186511448209,abnormal_release,seg-02
2025-11-10 19:11:01.952802,sess-0000000003,imsi-266857,mme-so-03,cell-00121,tac-0066,data,internet,8,5995,30.13774581811774,abnormal_release,seg-10
2025-11-10 19:11:36.952802,sess-0000000004,imsi-131537,mme-ce-24,cell-00120,tac-0005,mms,internet,5,89,2.5448817406984188,handoff_drop,seg-08
2025-11-10 19:12:11.952802,sess-0000000005,imsi-854508,mme-ce-44,cell-00093,tac-0051,data,internet,8,331,43.748743111250185,abnormal_release,seg-07
2025-11-10 19:12:46.952802,sess-0000000006,imsi-868392,mme-so-18,cell-00113,tac-0036,voice,enterprise.apn,8,332,289.62458896894435,normal_release,seg-09
2025-11-10 19:13:21.952802,sess-0000000007,imsi-407662,mme-so-14,cell-00373,tac-0059,voice,ims,7,1598,386.2391143126974,normal_release,seg-02
2025-11-10 19:13:56.952802,sess-0000000008,imsi-379495,mme-no-29,cell-00314,tac-0040,sms,internet,8,79,15.045199209950379,normal_release,seg-03
2025-11-10 19:14:31.952802,sess-0000000009,imsi-840416,mme-ce-19,cell-00277,tac-0093,voice,internet,6,39,7.589155915321757,normal_release,seg-10
2025-11-10 19:15:06.952802,sess-0000000010,imsi-213617,mme-no-49,cell-00082,tac-0073,data,mms,6,315,3.034046004681333,normal_release,seg-03
2025-11-10 19:15:41.952802,sess-0000000011,imsi-876996,mme-so-30,cell-00055,tac-0042,data,enterprise.apn,7,2905,19.260273930481326,normal_release,seg-10
2025-11-10 19:16:16.952802,sess-0000000012,imsi-876586,mme-no-15,cell-00069,tac-0001,data,internet,6,39,17.465441114439226,normal_release,seg-02
2025-11-10 19:16:51.952802,sess-0000000013,imsi-393476,mme-so-23,cell-00195,tac-0004,data,internet,5,79,7.728270514102205,normal_release,seg-05
2025-11-10 19:17:26.952802,sess-0000000014,imsi-465425,mme-ce-26,cell-00474,tac-0032,ims,internet,6,8086,219.3045939622517,timeout,seg-09
2025-11-10 19:18:01.952802,sess-0000000015,imsi-528388,mme-no-07,cell-00071,tac-0013,data,wap,9,155,157.57689102279747,normal_release,seg-05
2025-11-10 19:18:36.952802,sess-0000000016,imsi-609357,mme-no-22,cell-00258,tac-0098,data,wap,5,37,1.278720076153294,handoff_drop,seg-06
