@timestamp,mme_node_id,mme_pool_id,cpu_utilization_pct,memory_utilization_pct,active_ue_sessions,attach_request_rate,attach_failure_rate,software_version,process_name,log_severity,error_code,fault_code,fault_category,fault_severity,affected_subscribers,attach_failures,detach_events,s1ap_errors,nas_procedure_failures,core_dump_generated,log_level,s1ap_error_count,nas_signaling_error_count
2026-01-17 15:26:18.310286,MME-07,MME-POOL-WEST,25.8,90.9,8981,488,8.58,v4.3.1,s1ap_proc,ERROR,ERR-0200,FC-1003,SESSION,CRITICAL,3761,0,83,46,52,false,ERROR,30,41
2026-02-05 16:40:26.310286,MME-03,MME-POOL-CENTRAL,87.4,81.8,13915,252,13.37,v4.2.3,nas_handler,ERROR,ERR-0100,FC-1001,S1AP,HIGH,2923,35,18,19,13,true,ERROR,18,21
2026-01-16 03:41:52.310286,MME-06,MME-POOL-CENTRAL,82.8,36.8,14944,237,26.5,v4.2.1,mme_main,WARNING,ERR-0500,FC-2002,HSS,MEDIUM,501,155,6,49,23,false,WARN,49,31
2026-01-16 03:21:50.310286,MME-06,MME-POOL-EAST,71.2,76.0,4484,69,22.65,v4.3.0,mme_main,WARNING,ERR-0001,FC-1003,SESSION,MEDIUM,3829,76,79,14,17,false,WARN,24,5
2026-01-31 21:47:12.310286,MME-01,MME-POOL-EAST,65.2,56.2,2736,36,18.95,v4.3.1,mme_main,ERROR,ERR-0100,FC-2002,HSS,MEDIUM,3964,71,83,39,6,false,WARN,14,40
2026-01-06 01:20:27.310286,MME-02,MME-POOL-CENTRAL,62.1,42.6,9043,427,23.94,v5.0.0,mme_main,INFO,ERR-0200,FC-4002,AUTH,HIGH,2322,130,5,21,74,false,ERROR,12,68
2026-02-02 15:25:26.310286,MME-08,MME-POOL-EAST,28.3,2.8,4244,329,16.84,v4.3.0,hss_client,INFO,ERR-0001,FC-1002,MEMORY,CRITICAL,1137,171,36,48,53,false,INFO,23,23
2026-02-10 15:19:25.310286,MME-03,MME-POOL-CENTRAL,85.2,52.1,2851,413,21.14,v4.3.1,hss_client,INFO,ERR-0300,FC-1002,MEMORY,MEDIUM,515,41,39,25,61,false,WARN,32,56
2026-02-10 15:30:40.310286,MME-03,MME-POOL-EAST,80.7,82.0,12969,314,42.19,v4.3.0,mme_main,ERROR,ERR-0400,FC-1002,MEMORY,HIGH,2003,169,29,24,28,false,INFO,39,26
2026-02-13 17:50:50.310286,MME-06,MME-POOL-WEST,60.3,53.9,12970,188,19.64,v4.2.1,nas_handler,ERROR,ERR-0500,FC-1003,SESSION,MEDIUM,899,66,77,15,32,true,ERROR,32,15
2026-02-10 15:22:43.310286,MME-03,MME-POOL-EAST,83.7,51.1,14811,418,15.12,v4.2.1,paging_mgr,INFO,ERR-0002,FC-1001,S1AP,MEDIUM,4280,146,36,23,21,false,INFO,17,62
2026-01-16 03:24:19.310286,MME-06,MME-POOL-EAST,90.7,69.1,11149,197,10.45,v4.2.3,paging_mgr,INFO,ERR-0200,FC-2001,CPU,LOW,1037,135,0,50,50,false,INFO,41,10
2026-01-16 01:29:13.310286,MME-06,MME-POOL-CENTRAL,57.0,90.2,14982,414,19.24,v4.3.1,hss_client,ERROR,ERR-0001,FC-1002,MEMORY,MEDIUM,150,118,51,15,3,false,WARN,7,11
